Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 08 (%);H 09 (%);H 12 (%);H 14 (%);H 17 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%);H 26 (%);H 29 (%)
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;217;202;93%;25%;29%;47%;73%;91;92;64;76;61;64;41;64;62;91;75
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;332;162;49%;27%;27%;46%;72%;86;91;66;81;52;68;47;69;63;86;72
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;310;250;81%;38%;19%;43%;66%;85;82;56;72;48;69;49;62;56;84;67
TARRAFAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;131;49;37%;31%;24%;45%;67%;87;82;60;70;46;64;41;61;62;86;71
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;633;506;80%;35%;24%;41%;67%;87;78;61;69;53;66;53;66;57;81;66
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;278;0;0%;0%;0%;0%;0%;;;;;;;;;;;
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1204;960;80%;31%;30%;39%;69%;84;82;58;73;52;67;56;68;55;84;73
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;675;0;0%;0%;0%;0%;0%;;;;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;514;453;88%;36%;28%;36%;65%;77;75;60;68;54;65;50;64;58;81;68
UMARI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;44;40;91%;43%;25%;33%;67%;90;86;30;65;49;55;51;60;40;83;73
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;354;239;68%;34%;28%;38%;70%;85;83;51;70;54;66;66;73;48;84;71
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;304;279;92%;29%;28%;43%;70%;82;90;61;77;56;69;49;68;58;85;72
URUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;243;206;85%;42%;18%;40%;65%;77;83;44;71;59;56;53;67;49;78;66
VARJOTA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;268;134;50%;36%;42%;22%;66%;91;85;42;66;52;74;46;72;47;86;62
VICOSA DO CEARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1019;849;83%;24%;29%;47%;72%;90;88;65;76;54;68;54;71;63;88;75
