Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%)
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;290;241;83%;26%;37%;38%;66%;52;74;80;82;79;54;63;47
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;1263;1087;86%;23%;33%;44%;69%;62;74;75;79;76;63;62;57
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;727;0;0%;0%;0%;0%;0%;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;506;421;83%;9%;27%;64%;77%;77;84;82;85;81;73;70;64
UMARI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;38;36;95%;22%;19%;58%;73%;76;81;83;81;90;60;64;55
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;373;0;0%;0%;0%;0%;0%;;;;;;;;
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;283;45;16%;27%;31%;42%;66%;61;71;64;71;79;58;63;52
URUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;203;185;91%;15%;20%;65%;78%;69;80;87;89;90;70;72;65
VARJOTA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;268;248;93%;16%;27%;57%;74%;66;79;77;85;85;72;65;59
VICOSA DO CEARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 1º ANO;968;858;89%;14%;25%;61%;77%;71;84;83;85;85;72;73;61
