Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 05 (%);H 09 (%);H 13 (%);H 14 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%);H 22 (%)
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;217;211;97%;28%;22%;49%;69%;90;49;75;77;52;86;69;46;75
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;343;189;55%;28%;24%;48%;69%;94;47;74;78;55;86;66;45;76
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;311;65;21%;20%;20%;60%;73%;91;52;72;84;78;90;62;44;82
TARRAFAS;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;98;84;86%;18%;18%;64%;76%;88;62;78;84;60;88;77;56;85
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;661;572;87%;30%;28%;42%;68%;84;45;70;77;60;80;66;51;73
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;274;257;94%;40%;28%;32%;63%;68;45;66;72;47;80;65;42;71
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1219;1102;90%;33%;25%;42%;67%;80;48;69;75;59;84;65;47;72
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;675;0;0%;0%;0%;0%;0%;;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;516;426;83%;27%;27%;46%;68%;75;53;73;74;64;79;67;53;71
UMARI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;44;28;64%;11%;36%;54%;70%;89;30;76;91;63;82;70;55;63
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;247;0;0%;0%;0%;0%;0%;;;;;;;;;
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;285;43;15%;42%;14%;44%;65%;91;46;63;78;36;84;60;39;71
URUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;244;208;85%;39%;14%;46%;65%;70;48;68;77;57;75;62;52;70
VARJOTA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;266;239;90%;33%;23%;45%;67%;83;56;69;75;51;81;66;54;72
VICOSA DO CEARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 3º ANO;1015;905;89%;24%;23%;53%;70%;85;50;77;75;70;85;68;52;76
