Município;Componente Curricular;Etapa;Previstos;Avaliados;% Participação;Defasagem;Aprendizado intermediário;Aprendizado adequado;Acerto Total;H 01 (%);H 02 (%);H 03 (%);H 04 (%);H 05 (%);H 06 (%);H 07 (%);H 08 (%);H 09 (%);H 10 (%);H 11 (%);H 12 (%);H 13 (%);H 14 (%);H 15 (%);H 16 (%);H 17 (%);H 18 (%);H 19 (%);H 20 (%);H 21 (%)
SENADOR POMPEU;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;220;192;87%;15%;24%;61%;61%;79;65;54;54;61;25;74;61;68;62;69;53;70;67;63;59;54;68;28;79;57
SOLONOPOLE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;182;166;91%;8%;20%;71%;68%;89;61;58;74;73;64;73;62;68;73;73;54;71;83;76;70;59;70;48;83;61
TABULEIRO DO NORTE;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;310;297;96%;10%;16%;74%;67%;86;76;65;58;72;64;75;65;70;74;76;57;77;72;63;65;60;74;39;78;58
TAMBORIL;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;14;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
TAUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;558;15;3%;7%;7%;87%;67%;80;87;47;100;73;40;60;60;60;60;67;47;;80;;70;47;87;27;87;73
TEJUCUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;306;251;82%;16%;24%;59%;61%;81;57;50;59;60;55;60;57;49;64;62;52;44;71;100;64;57;73;36;76;56
TIANGUA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;1078;980;91%;14%;26%;59%;61%;83;57;47;57;63;51;59;56;53;67;62;49;0;73;;65;63;73;36;75;58
TRAIRI;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;634;0;0%;0%;0%;0%;0%;;;;;;;;;;;;;;;;;;;;;
UBAJARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;504;417;83%;10%;16%;74%;69%;84;62;56;67;75;70;71;70;67;75;67;58;80;77;81;64;71;75;54;79;63
UMIRIM;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;282;195;69%;17%;33%;49%;56%;77;56;42;50;47;46;53;53;49;55;64;46;;71;;60;54;68;22;73;53
URUBURETAMA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;314;245;78%;20%;22%;58%;60%;77;67;56;55;60;55;61;58;56;66;62;54;61;66;65;59;53;68;44;76;54
URUOCA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;169;149;88%;13%;9%;79%;67%;81;67;62;50;61;68;75;62;78;76;83;66;76;61;73;74;62;74;49;70;66
VARJOTA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;266;33;12%;39%;12%;48%;60%;70;61;64;52;48;52;59;52;59;55;64;;70;70;;61;45;65;;70;
VICOSA DO CEARA;LÍNGUA PORTUGUESA;ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO;876;789;90%;12%;15%;74%;66%;82;78;71;61;54;;75;63;74;83;76;61;68;81;75;61;62;78;43;50;60
