Etapa,Componente Curricular,Descritor,Descrição da Habilidade ,Ciclos,Habilidades,Município,Previstos,Avaliados,Participação,Defasagem,Aprendizado intermediário,Aprendizado adequado,Acerto Total,Percentual de acertos
2 ANO,MATEMÁTICA,2EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide) em objetos do mundo físico, pela sua forma ou sua denominação.",2,H 66,CAUCAIA,3951.0,3432.0,87,14,36,49,66,82.0
2 ANO,MATEMÁTICA,2EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide) em objetos do mundo físico, pela sua forma ou sua denominação.",2,H 66,EUSEBIO,891.0,82.0,9,1,16,83,80,94.0
2 ANO,MATEMÁTICA,2EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide) em objetos do mundo físico, pela sua forma ou sua denominação.",2,H 66,GUAIUBA,285.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide) em objetos do mundo físico, pela sua forma ou sua denominação.",2,H 66,ITAITINGA,793.0,708.0,89,13,31,56,71,87.0
2 ANO,MATEMÁTICA,2EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide) em objetos do mundo físico, pela sua forma ou sua denominação.",2,H 66,MARACANAU,2975.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide) em objetos do mundo físico, pela sua forma ou sua denominação.",2,H 66,MARANGUAPE,1145.0,31.0,3,29,19,52,66,74.0
2 ANO,MATEMÁTICA,2EF09_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide) em objetos do mundo físico, pela sua forma ou sua denominação.",2,H 66,PACATUBA,55.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",2,H 67,AQUIRAZ,1092.0,70.0,6,100,0,0,16,4.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",2,H 67,CAUCAIA,3951.0,3432.0,87,14,36,49,66,52.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",2,H 67,EUSEBIO,891.0,82.0,9,1,16,83,80,61.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",2,H 67,GUAIUBA,285.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",2,H 67,ITAITINGA,793.0,708.0,89,13,31,56,71,66.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",2,H 67,MARACANAU,2975.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",2,H 67,MARANGUAPE,1145.0,31.0,3,29,19,52,66,74.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",2,H 67,PACATUBA,55.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",2,H 68,AQUIRAZ,1092.0,70.0,6,100,0,0,16,21.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",2,H 68,CAUCAIA,3951.0,3432.0,87,14,36,49,66,78.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",2,H 68,EUSEBIO,891.0,82.0,9,1,16,83,80,93.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",2,H 68,GUAIUBA,285.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",2,H 68,ITAITINGA,793.0,708.0,89,13,31,56,71,82.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",2,H 68,MARACANAU,2975.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",2,H 68,MARANGUAPE,1145.0,31.0,3,29,19,52,66,85.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",2,H 68,PACATUBA,55.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",3,H 01,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,87.0
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",3,H 01,CAUCAIA,4023.0,3328.0,83,18,36,46,65,81.0
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",3,H 01,EUSEBIO,964.0,914.0,95,7,21,72,79,92.0
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",3,H 01,GUAIUBA,341.0,255.0,75,7,26,66,75,86.0
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",3,H 01,ITAITINGA,803.0,737.0,92,9,27,63,76,82.0
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",3,H 01,MARACANAU,2992.0,2654.0,89,14,33,53,69,86.0
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",3,H 01,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF03_M,"Comparar números naturais formados por até três algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",3,H 01,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF04_M,Efetuar a operação de adição entre números naturais formados por até três algarismos.,3,H 02,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,75.0
2 ANO,MATEMÁTICA,2EF04_M,Efetuar a operação de adição entre números naturais formados por até três algarismos.,3,H 02,CAUCAIA,4023.0,3328.0,83,18,36,46,65,67.0
2 ANO,MATEMÁTICA,2EF04_M,Efetuar a operação de adição entre números naturais formados por até três algarismos.,3,H 02,EUSEBIO,964.0,914.0,95,7,21,72,79,86.0
2 ANO,MATEMÁTICA,2EF04_M,Efetuar a operação de adição entre números naturais formados por até três algarismos.,3,H 02,GUAIUBA,341.0,255.0,75,7,26,66,75,76.0
2 ANO,MATEMÁTICA,2EF04_M,Efetuar a operação de adição entre números naturais formados por até três algarismos.,3,H 02,ITAITINGA,803.0,737.0,92,9,27,63,76,81.0
2 ANO,MATEMÁTICA,2EF04_M,Efetuar a operação de adição entre números naturais formados por até três algarismos.,3,H 02,MARACANAU,2992.0,2654.0,89,14,33,53,69,68.0
2 ANO,MATEMÁTICA,2EF04_M,Efetuar a operação de adição entre números naturais formados por até três algarismos.,3,H 02,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF04_M,Efetuar a operação de adição entre números naturais formados por até três algarismos.,3,H 02,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",3,H 03,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,79.0
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",3,H 03,CAUCAIA,4023.0,3328.0,83,18,36,46,65,69.0
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",3,H 03,EUSEBIO,964.0,914.0,95,7,21,72,79,85.0
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",3,H 03,GUAIUBA,341.0,255.0,75,7,26,66,75,80.0
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",3,H 03,ITAITINGA,803.0,737.0,92,9,27,63,76,78.0
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",3,H 03,MARACANAU,2992.0,2654.0,89,14,33,53,69,75.0
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",3,H 03,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF05_M,"Utilizar a operação de adição entre números naturais, formados por até três algarismos, envolvendo o significado de juntar ou de acrescentar, com ou sem suporte de imagens, na resolução de problema.",3,H 03,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",3,H 04,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,74.0
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",3,H 04,CAUCAIA,4023.0,3328.0,83,18,36,46,65,64.0
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",3,H 04,EUSEBIO,964.0,914.0,95,7,21,72,79,77.0
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",3,H 04,GUAIUBA,341.0,255.0,75,7,26,66,75,72.0
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",3,H 04,ITAITINGA,803.0,737.0,92,9,27,63,76,75.0
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",3,H 04,MARACANAU,2992.0,2654.0,89,14,33,53,69,67.0
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",3,H 04,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF06_M,"Utilizar a operação de subtração entre números naturais, formados por até três algarismos, envolvendo o significado de separar ou de retirar, com ou sem suporte de imagens, na resolução de problema.",3,H 04,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF07_M,Determinar termos ausentes em sequências repetitivas de números naturais formados por até três algarismos.,3,H 05,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,70.0
2 ANO,MATEMÁTICA,2EF07_M,Determinar termos ausentes em sequências repetitivas de números naturais formados por até três algarismos.,3,H 05,CAUCAIA,4023.0,3328.0,83,18,36,46,65,61.0
2 ANO,MATEMÁTICA,2EF07_M,Determinar termos ausentes em sequências repetitivas de números naturais formados por até três algarismos.,3,H 05,EUSEBIO,964.0,914.0,95,7,21,72,79,76.0
2 ANO,MATEMÁTICA,2EF07_M,Determinar termos ausentes em sequências repetitivas de números naturais formados por até três algarismos.,3,H 05,GUAIUBA,341.0,255.0,75,7,26,66,75,64.0
2 ANO,MATEMÁTICA,2EF07_M,Determinar termos ausentes em sequências repetitivas de números naturais formados por até três algarismos.,3,H 05,ITAITINGA,803.0,737.0,92,9,27,63,76,70.0
2 ANO,MATEMÁTICA,2EF07_M,Determinar termos ausentes em sequências repetitivas de números naturais formados por até três algarismos.,3,H 05,MARACANAU,2992.0,2654.0,89,14,33,53,69,65.0
2 ANO,MATEMÁTICA,2EF07_M,Determinar termos ausentes em sequências repetitivas de números naturais formados por até três algarismos.,3,H 05,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF07_M,Determinar termos ausentes em sequências repetitivas de números naturais formados por até três algarismos.,3,H 05,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",3,H 06,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,93.0
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",3,H 06,CAUCAIA,4023.0,3328.0,83,18,36,46,65,86.0
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",3,H 06,EUSEBIO,964.0,914.0,95,7,21,72,79,93.0
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",3,H 06,GUAIUBA,341.0,255.0,75,7,26,66,75,88.0
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",3,H 06,ITAITINGA,803.0,737.0,92,9,27,63,76,86.0
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",3,H 06,MARACANAU,2992.0,2654.0,89,14,33,53,69,91.0
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",3,H 06,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF08_M,"Interpretar localização de pessoas, animais ou objetos no espaço, considerando um ou mais de um ponto de referência e noções de orientação (à direita, à esquerda, em frente, atrás, em cima e/ou emb...",3,H 06,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF10_M,"Medir comprimento, usando unidades de medidas padronizadas (metro, centímetro ou milímetro).",3,H 07,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,65.0
2 ANO,MATEMÁTICA,2EF10_M,"Medir comprimento, usando unidades de medidas padronizadas (metro, centímetro ou milímetro).",3,H 07,CAUCAIA,4023.0,3328.0,83,18,36,46,65,48.0
2 ANO,MATEMÁTICA,2EF10_M,"Medir comprimento, usando unidades de medidas padronizadas (metro, centímetro ou milímetro).",3,H 07,EUSEBIO,964.0,914.0,95,7,21,72,79,64.0
2 ANO,MATEMÁTICA,2EF10_M,"Medir comprimento, usando unidades de medidas padronizadas (metro, centímetro ou milímetro).",3,H 07,GUAIUBA,341.0,255.0,75,7,26,66,75,64.0
2 ANO,MATEMÁTICA,2EF10_M,"Medir comprimento, usando unidades de medidas padronizadas (metro, centímetro ou milímetro).",3,H 07,ITAITINGA,803.0,737.0,92,9,27,63,76,63.0
2 ANO,MATEMÁTICA,2EF10_M,"Medir comprimento, usando unidades de medidas padronizadas (metro, centímetro ou milímetro).",3,H 07,MARACANAU,2992.0,2654.0,89,14,33,53,69,51.0
2 ANO,MATEMÁTICA,2EF10_M,"Medir comprimento, usando unidades de medidas padronizadas (metro, centímetro ou milímetro).",3,H 07,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF10_M,"Medir comprimento, usando unidades de medidas padronizadas (metro, centímetro ou milímetro).",3,H 07,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF11_M,Reconhecer horário em relógio digital (hora e minuto).,3,H 08,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,91.0
2 ANO,MATEMÁTICA,2EF11_M,Reconhecer horário em relógio digital (hora e minuto).,3,H 08,CAUCAIA,4023.0,3328.0,83,18,36,46,65,85.0
2 ANO,MATEMÁTICA,2EF11_M,Reconhecer horário em relógio digital (hora e minuto).,3,H 08,EUSEBIO,964.0,914.0,95,7,21,72,79,95.0
2 ANO,MATEMÁTICA,2EF11_M,Reconhecer horário em relógio digital (hora e minuto).,3,H 08,GUAIUBA,341.0,255.0,75,7,26,66,75,87.0
2 ANO,MATEMÁTICA,2EF11_M,Reconhecer horário em relógio digital (hora e minuto).,3,H 08,ITAITINGA,803.0,737.0,92,9,27,63,76,88.0
2 ANO,MATEMÁTICA,2EF11_M,Reconhecer horário em relógio digital (hora e minuto).,3,H 08,MARACANAU,2992.0,2654.0,89,14,33,53,69,88.0
2 ANO,MATEMÁTICA,2EF11_M,Reconhecer horário em relógio digital (hora e minuto).,3,H 08,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF11_M,Reconhecer horário em relógio digital (hora e minuto).,3,H 08,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",3,H 09,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,74.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",3,H 09,CAUCAIA,4023.0,3328.0,83,18,36,46,65,66.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",3,H 09,EUSEBIO,964.0,914.0,95,7,21,72,79,76.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",3,H 09,GUAIUBA,341.0,255.0,75,7,26,66,75,76.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",3,H 09,ITAITINGA,803.0,737.0,92,9,27,63,76,71.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",3,H 09,MARACANAU,2992.0,2654.0,89,14,33,53,69,67.0
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",3,H 09,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF12_M,"Corresponder coleções distintas de moedas e/ou de cédulas do sistema monetário brasileiro que representam uma mesma quantia, em situações do cotidiano.",3,H 09,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF13_M,"Classificar chance de ocorrência de evento, associado a um experimento aleatório, empregando termos como: impossível, certo, pouco provável ou muito provável, em situações do cotidiano.",3,H 10,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,72.0
2 ANO,MATEMÁTICA,2EF13_M,"Classificar chance de ocorrência de evento, associado a um experimento aleatório, empregando termos como: impossível, certo, pouco provável ou muito provável, em situações do cotidiano.",3,H 10,CAUCAIA,4023.0,3328.0,83,18,36,46,65,54.0
2 ANO,MATEMÁTICA,2EF13_M,"Classificar chance de ocorrência de evento, associado a um experimento aleatório, empregando termos como: impossível, certo, pouco provável ou muito provável, em situações do cotidiano.",3,H 10,EUSEBIO,964.0,914.0,95,7,21,72,79,61.0
2 ANO,MATEMÁTICA,2EF13_M,"Classificar chance de ocorrência de evento, associado a um experimento aleatório, empregando termos como: impossível, certo, pouco provável ou muito provável, em situações do cotidiano.",3,H 10,GUAIUBA,341.0,255.0,75,7,26,66,75,62.0
2 ANO,MATEMÁTICA,2EF13_M,"Classificar chance de ocorrência de evento, associado a um experimento aleatório, empregando termos como: impossível, certo, pouco provável ou muito provável, em situações do cotidiano.",3,H 10,ITAITINGA,803.0,737.0,92,9,27,63,76,70.0
2 ANO,MATEMÁTICA,2EF13_M,"Classificar chance de ocorrência de evento, associado a um experimento aleatório, empregando termos como: impossível, certo, pouco provável ou muito provável, em situações do cotidiano.",3,H 10,MARACANAU,2992.0,2654.0,89,14,33,53,69,61.0
2 ANO,MATEMÁTICA,2EF13_M,"Classificar chance de ocorrência de evento, associado a um experimento aleatório, empregando termos como: impossível, certo, pouco provável ou muito provável, em situações do cotidiano.",3,H 10,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF13_M,"Classificar chance de ocorrência de evento, associado a um experimento aleatório, empregando termos como: impossível, certo, pouco provável ou muito provável, em situações do cotidiano.",3,H 10,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF14_M,Identificar dados estatísticos dispostos em tabelas de dupla entrada.,3,H 11,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,71.0
2 ANO,MATEMÁTICA,2EF14_M,Identificar dados estatísticos dispostos em tabelas de dupla entrada.,3,H 11,CAUCAIA,4023.0,3328.0,83,18,36,46,65,61.0
2 ANO,MATEMÁTICA,2EF14_M,Identificar dados estatísticos dispostos em tabelas de dupla entrada.,3,H 11,EUSEBIO,964.0,914.0,95,7,21,72,79,75.0
2 ANO,MATEMÁTICA,2EF14_M,Identificar dados estatísticos dispostos em tabelas de dupla entrada.,3,H 11,GUAIUBA,341.0,255.0,75,7,26,66,75,80.0
2 ANO,MATEMÁTICA,2EF14_M,Identificar dados estatísticos dispostos em tabelas de dupla entrada.,3,H 11,ITAITINGA,803.0,737.0,92,9,27,63,76,76.0
2 ANO,MATEMÁTICA,2EF14_M,Identificar dados estatísticos dispostos em tabelas de dupla entrada.,3,H 11,MARACANAU,2992.0,2654.0,89,14,33,53,69,67.0
2 ANO,MATEMÁTICA,2EF14_M,Identificar dados estatísticos dispostos em tabelas de dupla entrada.,3,H 11,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF14_M,Identificar dados estatísticos dispostos em tabelas de dupla entrada.,3,H 11,PACATUBA,748.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",3,H 12,AQUIRAZ,1110.0,1066.0,96,11,23,66,75,77.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",3,H 12,CAUCAIA,4023.0,3328.0,83,18,36,46,65,64.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",3,H 12,EUSEBIO,964.0,914.0,95,7,21,72,79,78.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",3,H 12,GUAIUBA,341.0,255.0,75,7,26,66,75,77.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",3,H 12,ITAITINGA,803.0,737.0,92,9,27,63,76,70.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",3,H 12,MARACANAU,2992.0,2654.0,89,14,33,53,69,68.0
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",3,H 12,MARANGUAPE,1182.0,0.0,0,0,0,0,0,
2 ANO,MATEMÁTICA,2EF15_M,"Interpretar dados estatísticos dispostos em tabelas simples, em gráficos de colunas ou de barras simples.",3,H 12,PACATUBA,748.0,0.0,0,0,0,0,0,
3 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,AQUIRAZ,1338.0,1225.0,92,23,29,48,73,84.0
3 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,CAUCAIA,4374.0,3723.0,85,37,22,41,66,87.0
3 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,EUSEBIO,1141.0,1040.0,91,24,24,52,73,83.0
3 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,GUAIUBA,395.0,242.0,61,34,33,33,67,87.0
3 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,ITAITINGA,499.0,0.0,0,0,0,0,0,
3 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,MARACANAU,3145.0,2942.0,94,37,22,42,66,89.0
3 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,MARANGUAPE,1262.0,1055.0,84,24,30,45,73,86.0
3 ANO,LÍNGUA PORTUGUESA,1EF08_P,Ler palavras formadas exclusivamente por sílabas canônicas.,1,H 08,PACATUBA,994.0,868.0,87,35,29,37,71,89.0
