ANO;UNIDADES TEMÁTICAS;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO INTRACOMPONENTE;RELAÇÃO INTERCOMPONENTE;COMPETÊNCIAS ESPECÍFICAS
3º;Grandezas e medidas;Significado de medida e de unidade de medida;"Identificação de instrumentos padronizados para medir comprimentos; Identificação de instrumentos de medida de comprimento ade- quados à extensão de objetos a serem medidos;
Identificação de diferentes tipos de balança como instrumento para medir massa; Identificação de recipientes graduados adequados para medir diferentes capacidades; Identificação do relógio
e dos diferentes tipos de calendário (semanal, mensal e anual) como instrumentos de medida de tempo;";(EF03MA18) Escolher a unidade de medida e o instrumento mais apropriado para medições de comprimento, tempo, massa e capacidade.;(EF03MA17) (EF03MA19) (EF03MA20);;Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
3º;Grandezas e medidas;"Medidas de comprimento (unidades não conven- cionais e convencionais): registro, instrumentos
de medida, estimativas e comparações";"Medição de comprimentos utilizando unidades de medida não padronizadas; Comparação dos resultados de medições realizadas com o uso de medidas não padronizadas; Identificação do
metro como unidade padrão de medida de com- primento; Medição e comparação de resultados de medições utilizando o metro; Identificação do centímetro e do milímetro como unidades de me- didas para pequenos comprimentos (em relação ao metro); Diferenciação do metro, centímetro e milímetro, indicando situações adequadas para sua utilização; Utilização de instrumentos de medida de comprimento adequados para cada situação;";(EF03MA19) Estimar, medir e comparar comprimentos, utilizando unidades de medida não padronizadas e padronizadas mais usuais (metro, centímetro e milíme- tro) e diversos instrumentos de medida.;(EF03MA17) (EF03MA18) (EF03MA20);(EF03CI05);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
3º;Grandezas e medidas;Medidas de capacidade e de massa (unidades não convencionais e conven- cionais): registro, estima- tivas e comparações;"Utilização de medidas não padronizadas para massa e capacidade; Identificação do quilogra- ma e da grama como unidade padronizada de medida de massa; Identificação do litro e do mililitro como unidade padronizada de medida de capacidade; Utilização de instrumentos adequa- dos para medir capacidade e massa";"(EF03MA20) Estimar e medir capacidade e massa, utilizando unidades de medida não padronizadas e padronizadas mais usuais (litro, mililitro, quilograma, grama e
miligrama), reconhecendo-as em leitura de rótulos e embalagens, entre outros.";(EF03MA17) (EF03MA18) (EF03MA19);;Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
3º;Grandezas e medidas;Comparação de áreas por superposição;"Introdução a noção de área; Estabelecimento da comparação de áreas por meio de malha quadriculada";(EF03MA21) Comparar, visualmente ou por superposição, áreas de faces de obje- tos, de figuras planas ou de desenhos.;(EF03MA15) (EF03MA16);(EF15AR26);Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
3º;Grandezas e medidas;"Medidas de tempo: leitu- ra de horas em relógios digitais e analógicos, duração de eventos
e reconhecimento de relações entre unidades de medida de tempo";"Identificação do dia como período de 24 horas; Resolução e elaboração de problemas com situações que informem os horários de início e término de realização de uma atividade e sua duração.";(EF03MA22) Ler e registrar medidas e intervalos de tempo, utilizando relógios (analógico e digital) para informar os horários de início e término de realização de uma atividade e sua duração.;(EF03MA17) (EF03MA18) (EF03MA23);(EF03CI08);"Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções. Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
3º;Grandezas e medidas;"Medidas de tempo: leitu- ra de horas em relógios digitais e analógicos, duração de eventos
e reconhecimento de relações entre unidades de medida de tempo";"Leitura de hora exata e meia hora em relógios analógicos e digitais; Associação entre dia, hora, minuto e segundo; Resolução e elaboração de problemas envolvendo a leitura de horas e a duração de eventos";"(EF03MA23) Ler horas em relógios digitais e em relógios analógicos e reconhecer
a relação entre hora e minutos e entre minuto e segundos.";(EF03MA17) (EF03MA18) (EF03MA22);;Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar desco- bertas e construções, inclusive com impactos no mundo do trabalho.
3º;Grandezas e medidas;Sistema monetário bra- sileiro: estabelecimento de equivalências de um mesmo valor na utiliza- ção de diferentes cédulas e moedas;"Identificação de cédulas e moedas do Sistema Monetário Brasileiro; Leitura e escrita de quan- tias por extenso; Composição e decomposição de valores, manipulando cédulas ou moedas;
Realização de trocas de notas e de moedas por moedas, manipulando-as; Resolução e elaboração de problemas envolvendo quantias; Resolução e elaboração de problemas envolvendo situações  de compra, venda e troca;";(EF03MA24) Resolver e elaborar pro- blemas que envolvam a comparação e a equivalência de valores monetários do sistema brasileiro em situações de compra, venda e troca.;(EF03MA17) (EF03MA18);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
3º;Probabilidade e estatística;Análise da ideia de acaso em situações do cotidia- no: espaço amostral;"Identificação de eventos possíveis e impossíveis; Verificação de possíveis eventos ou cenários em um experimento (em ambiente escolar ou em uma situação cotidiana, real ou hipotética) que tem maiores/menores chance de ocorrer;";(EF03MA25) Identificar, em eventos familiares aleatórios, todos os resultados possíveis, estimando os que têm maiores ou menores chances de ocorrência.;;;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
3º;Probabilidade e estatística;Leitura, interpretação e;"Resolução e elaboração de problemas envolvendo diferentes operações, com informações apresen- tadas em tabelas de dupla entrada ou em gráficos de barras ou colunas;";(EF03MA26) Resolver problemas cujos dados estão apresentados em tabelas de dupla entrada, gráficos de barras ou de colunas.;(EF03MA27) (EF03MA28);(EF03CI06) (EF03CI09) (EF89EF04);"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
3º;Probabilidade e estatística;"representação de da- dos em
tabelas de dupla entrada e gráficos de barras";"Leitura, interpretação e comparação de informa- ções e dados em tabelas simples e de dupla en- trada; Leitura de informações e dados em gráfico de colunas ou barras; Interpretação de informa- ções e dados, explícitos e implícitos, em tabelas simples ou de dupla entrada e em gráficos de colunas ou barras; Compreensão do significado de frequência; Comparação de frequências";(EF03MA27) Ler, interpretar e comparar dados apresentados em tabelas de dupla entrada, gráficos de barras ou de colunas, envolvendo resultados de pesquisas significativas, utilizando termos como maior e menor frequência, apropriando-se desse tipo de linguagem para compreen- der aspectos da realidade sociocultural significativos.;(EF03MA26) (EF03MA28);(EF03LP25) (EF35LP17) (EF03CI06) (EF03CI09) (EF35EF11);"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados).
Interagir com seus pares de forma cooperativa, trabalhando coletivamente no planejamento e
desenvolvimento de pesquisas para responder a questionamentos e na busca de soluções para problemas, de modo a identificar aspectos consensuais ou não na discussão de uma determinada questão, respeitando o modo de pensar dos colegas e aprendendo com eles."
3º;Probabilidade e estatística;Coleta, classificação e representação de dados referentes a variáveis categóricas, por meio de tabelas e gráficos;"Conhecimento dos diferentes tipos de variáveis categóricas; Planejamento de pesquisa; Coleta de dados: pesquisa envolvendo variáveis categóricas em um universo de até 50 elementos; Organiza- ção de dados coletados em listas, tabelas simples ou de dupla entrada; Preenchimento de tabela simples ou de dupla entrada, com dados coleta- dos; Construção de gráfico de barras ou colunas simples em malha quadriculada; Utilização de softwares e/ou recursos digitais para a construção de gráficos;";(EF03MA28) Realizar pesquisa envolvendo variáveis categóricas em um universo de até 50 elementos, organizar os dados coletados utilizando listas, tabelas simples ou de dupla entrada e representá-los em gráficos de colunas simples, com e sem uso de tecnologias digitais.;(EF03MA26) (EF03MA27);(EF03LP26) (EF35LP17) (EF03CI06) (EF03CI09);"Interagir com seus pares de forma cooperativa, trabalhando coletivamente no planejamento e
desenvolvimento de pesquisas para responder a questionamentos e na busca de soluções para problemas, de modo a identificar aspectos consensuais ou não na discussão de uma determinada questão, respeitando o modo de pensar dos colegas e aprendendo com eles.
Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados."
4º;Números;Sistema de numeração decimal: leitura, escrita, comparação e ordenação de números naturais de até cinco ordens;"Escrita de números de até cinco algarismos; Escrita de números de até cinco algarismos por extenso; Associação de um número à sua escrita por extenso; Leitura de números de até cinco algarismos; Representação de números com cinco algarismos utilizando diferentes materiais; Reali- zação de contagem oral da sequência numérica de 10 em 10, 50 em 50, 100 em 100, 500 em  500,
1000 em 1000, a partir de determinado número; Utilização da calculadora para a produção de escritas numéricas; Comparação entre os núme- ros utilizando símbolos para igualdade e para desigualdade; Leitura de números de até cinco algarismos em diferentes gêneros textuais.";(EF04MA01) Ler, escrever e ordenar números naturais até a ordem de dezenas de milhar.;(EF04MA02) (EF04MA14);;Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar desco- bertas e construções, inclusive com impactos no mundo do trabalho.
4º;Números;Composição e decom- posição de um número natural de até cinco ordens, por meio de adições e multiplicações por potências de 10;"Identificação das cinco primeiras ordens do siste- ma de numeração decimal, nomeando-as; Iden- tificação da posição das cinco primeiras ordens  do sistema de numeração decimal em números de cinco algarismos; Determinação do valor absoluto e relativo dos algarismos em número de até cinco ordens; Composição e decomposição de números naturais de cinco algarismos conside- rando suas ordens e a soma indicada dos valores relativos dos seus algarismos; Reconhecimento  de diferentes decomposições de um número;
Identificação do grupo de 10 centenas como uma unidade de milhar; Associação da dezena/ unidades determinando que 1 dezena é igual a 10 unidades; Associação da centena/dezenas/ unidades determinando que 1 centena é igual  a 10 dezenas e a 100 unidades; Associação da unidade de milhar/ centenas/dezenas/unidades
determinando que 1 unidade de milhar é igual a 10 centenas, a 100 dezenas e a 1000 unidades; Compreensão de que um número natural pode ser escrito como potência de 10, (Ex. 2523 = 2
x 1000+ 5 x 100 + 2 x 10 + 3 x 1), direcionando para a construção do conhecimento do sistema de numeração decimal.";(EF04MA02) Mostrar, por decomposição e composição, que todo número natural pode ser escrito por meio de adições e multiplicações por potências de dez, para compreender o sistema de numeração decimal e desenvolver estratégias de cálculo.;(EF04MA01) (EF04MA03) (EF04MA04) (EF04MA05) (EF04MA11) (EF04MA13);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
;;;;;;;
4º;Números;Propriedades das ope- rações;"Resolução e elaboração de problemas envolvendo diferentes significados da adição e da subtração; Resolução e elaboração de problema envolvendo adição em que é procurado o valor da soma
ou de uma parcela; Resolução e elaboração de problema envolvendo subtração em que é
procurado o valor do resto, do minuendo ou do subtraendo; Descrição do processo de resolução dos problemas resolvidos; Resolução e elaboração de problemas envolvendo a adição e a subtração em uma mesma situação; Resolução de adições com dois números de até cinco algarismos
sem reserva; Resolução de adições com dois números de até cinco algarismos com reserva; Resolução de adições com dois números de até cinco algarismos com duas reservas alternadas; Resolução de adições com três números com três, quatro e cinco algarismos e uma reserva; Reso- lução de subtrações com números de até cinco algarismos sem reagrupamento; Resolução de subtrações com números de até cinco algarismos com reagrupamento; Resolução de subtrações com números de até cinco algarismos com
dois reagrupamentos alternados; Disposição e utilização do algoritmo da adição e da subtração utilizando os sinais; Realização de estimativas dos resultados de adições e de subtrações; Utilização da adição como prova de verificação da  subtra- ção e vice-versa;";(EF04MA03) Resolver e elaborar proble- mas com números naturais envolvendo adição e subtração, utilizando estratégias diversas, como cálculo, cálculo mental e algoritmos, além de fazer estimativas do resultado.;(EF04MA25) (EF04MA02) (EF04MA03) (EF04MA04) (EF04MA05) (EF04MA11);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
;;;;;;;
4º;Números;para o desenvolvimento de diferentes estratégias de cálculo com números naturais;"Determinação dos resultados dos fatos da  adição e da subtração de forma automatizada; Compreensão de que a adição e a subtração são operações inversas; Estabelecimento de relações entre os termos da adição; Estabelecimento de
relações entre os termos da subtração; Estabeleci- mento de relações entre os termos da multiplica- ção; Estabelecimento de relações entre os termos da divisão; Identificação dos fatos fundamentais da multiplicação e da divisão; Compreensão de que a multiplicação e a divisão são operações inversas; Associação da multiplicação e da divisão a seus significados; Resolução de divisão com resto em que o divisor e o quociente são números de um algarismo usando recursos variados e o algoritmo; Verificação de resultados com o uso
da calculadora; Realização de cálculos utilizando estratégias como o uso de desenhos, símbolos, contagem, estimativa, decomposição, composição e  arredondamento de números;";(EF04MA04) Utilizar as relações entre adição e subtração, bem como entre multiplicação e divisão, para ampliar as estratégias de cálculo.;(EF04MA25) (EF04MA02) (EF04MA03) (EF04MA05) (EF04MA06) (EF04MA07);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
4º;Números;Propriedades das operações para o desen- volvimento de diferentes estratégias de cálculo com números naturais;"Resolução de multiplicação abreviada por 10, 100 e 1000; Resolução de  divisão abreviada por 10, 100 e 1000; Resolução de multiplicação de
dezenas exatas por um número de um algarismo; Resolução de multiplicação de número de três e quatro algarismos por outro de um algarismo, sem reserva; Resolução de multiplicação de número de três e quatro algarismos por outro de um algarismo, com uma reserva; Resolução de divisão exata em que o dividendo é um número de dois ou mais algarismos e o divisor é um número de um algarismo; Proposição do uso
da calculadora como estratégia de verificação de resultados e de diversificação de soluções.";(EF04MA05) Utilizar as propriedades das operações para desenvolver estratégias de cálculo.;(EF04MA06) (EF04MA07) (EF04MA08) (EF04MA11) (EF04MA13) (EF04MA14) (EF04MA15) (EF04MA25) (EF04MA02) (EF04MA03) (EF04MA04);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
4º;Números;"Problemas envolvendo diferentes significados da multiplicação e
da divisão: adição de parcelas iguais, configu- ração retangular, propor- cionalidade, repartição equitativa e medida";"Interpretação de situações que demandam ação de reunir quantidades iguais nas vivências do cotidiano; Resolução de problemas envolvendo diferentes significados da multiplicação (adição  de parcelas iguais, proporcionalidade, configu- ração retangular) utilizando estratégias diversas (estimativa, cálculo mental e algoritmos); Des- crição do processo de resolução dos problemas resolvidos; Elaboração de problemas envolvendo os diferentes significados da multiplicação (adição de parcelas iguais, proporcionalidade, configuração retangular) ; Resolução e elabo- ração de problemas envolvendo mais de uma operação. Desenvolvimento de estratégias, a fim de que o aluno se aproprie da linguagem mate- mática e das formas de expressão característica  da disciplina. Proposição do uso da calculadora como estratégia de verificação de resultados e de diversificação de soluções.";(EF04MA06) Resolver e elaborar proble- mas envolvendo diferentes significados da multiplicação (adição de parcelas iguais, organização retangular e proporcionalida- de), utilizando estratégias diversas, como cálculo por estimativa, cálculo mental e algoritmos.;(EF04MA25) (EF04MA01) (EF04MA02) (EF04MA03) (EF04MA04) (EF04MA05);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
4º;Números;"Problemas envolvendo diferentes significados da multiplicação e
da divisão: adição de parcelas iguais, configu- ração retangular, propor- cionalidade, repartição equitativa e medida";"Interpretação de situações que demandam ação de repartir uma quantidade em partes iguais nas vivências; Resolução de problemas envolvendo diferentes significados da divisão (repartir e medir) utilizando estratégias diversas (estima- tiva, cálculo mental e algoritmos); Descrição do processo de resolução dos problemas resolvidos; Elaboração de problemas envolvendo os dife- rentes significados da divisão (repartir e medir); Resolução de situações por meio do cálculo mental, que abordem estimativas e/ou algoritmos convencionais.";(EF04MA07) Resolver e elaborar pro- blemas de divisão cujo divisor tenha no máximo dois algarismos, envolvendo os significados de repartição equitativa e de medida, utilizando estratégias diversas, como cálculo por estimativa, cálculo mental e algoritmos.;(EF04MA12) (EF04MA25) (EF04MA01) (EF04MA02) (EF04MA03) (EF04MA04) (EF04MA05);;"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
4º;Números;Problemas de contagem;"Resolução de situações multiplicativas, com o uso da multiplicação ou divisão, com a ideia de combinação; Utilização de diferentes estratégias para resolução de problemas; Compreensão do princípio fundamental da contagem; Resolução  e elaboração de situações de contagem em que os alunos resolvam, utilizando diferentes proce- dimentos e registros (diagramas, listas, árvore de possibilidades, tabelas).";"(EF04MA08) Resolver, com o suporte de imagem e/ou material manipulável, problemas simples de contagem, como a determinação do número de agrupa- mentos possíveis ao se combinar cada elemento de uma coleção com todos os
elementos de outra, utilizando estratégias e formas de registro pessoais.";(EF04MA26) (EF04MA05) (EF04MA06);(EF35EF05) (EF35EF07);"Enfrentar situações-problema em múltiplos contextos, incluindo-se situações imaginadas, não direta- mente relacionadas com o aspecto prático-utilitário, expressar suas respostas e sintetizar conclusões, utilizando diferentes registros
e linguagens (gráficos, tabelas, esquemas, além de texto escrito na língua materna e outras linguagens para descrever algoritmos, como fluxogramas, e dados)."
4º;Números;Números racionais: frações unitárias mais usuais (1/2, 1/3, 1/4, 1/5, 1/10 e 1/100);"Obtenção de partes fracionárias pela divisão do todo (inteiro) em: duas, três, quatro, dez e cem partes iguais; Identificação de partes fracionárias relativa a: meios, terços, quartos, décimos e centésimos; Composição do inteiro com as partes fracionárias obtidas; Representação de frações graficamente; Identificação de fração represen- tada graficamente; Associação da fração repre- sentada graficamente à sua escrita numérica; Identificação dos termos da fração, nomeando-os; Indicação da função de cada termo da fração; Comparação de partes fracionárias relacionando meios, terços, quartos, décimos e centésimos; Comparação de frações, relacionando-as; Intro- dução da reta numérica; Ordenação de números racionais em  reta numérica; Apresentação dos termos específicos da fração (numerador e denominador).";(EF04MA09) Reconhecer as frações unitárias mais usuais (1/2, 1/3, 1/4, 1/5, 1/10 e 1/100) como unidades de medida menores do que uma unidade, utilizando a reta numérica como recurso.;(EF04MA10);;Compreender as relações entre conceitos e procedimentos dos diferentes campos da Matemática (Aritmética, Álgebra, Geometria, Estatística e Probabilidade) e de outras áreas do conhecimento, sentindo segurança quanto à própria capacidade de construir e aplicar conhecimentos matemáticos, desenvolvendo a autoestima e a perseverança na busca de soluções.
4º;Números;Números racionais: representação decimal para escrever valores do sistema monetário brasileiro;"Identificação da representação de frações com denominador 10; Identificação da primeira ordem decimal como décimo, relacionando com as moedas brasileiras; Compreensão de que cada centésimo de real é denominado de centavos de real; Comparação entre frações com denominador igual a 10 e números decimais. Utilização do sistema monetário brasileiro.";(EF04MA10) Reconhecer que as regras do sistema de numeração decimal podem ser estendidas para a representação decimal de um número racional e relacionar déci- mos e centésimos com a representação do sistema monetário brasileiro.;(EF04MA09);;Reconhecer que a Matemática é uma ciência humana, fruto das necessidades e preocupações de diferentes culturas, em diferentes momentos históricos, e é uma ciência viva, que contribui para solucionar problemas científicos e tecnológicos e para alicerçar desco- bertas e construções, inclusive com impactos no mundo do trabalho.
4º;Álgebra;Sequência numérica recursiva formada por múltiplos de um número natural;"Compreensão do significado de múltiplo; Identifi- cação de números primos; Realização de registro de regularidades observáveis; Identificação de padrão e de regularidades na sequência de números múltiplos; Ordenação de sequência numérica composta por múltiplos com números de até cinco algarismos em séries crescente e decrescente;";(EF04MA11) Identificar regularidades  em sequências numéricas compostas por múltiplos de um número natural.;(EF04MA02) (EF04MA03) (EF04MA05);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo"
4º;Álgebra;"Sequência numérica recursiva formada por números que deixam o mesmo resto ao ser
divididos por um mesmo número natural diferente de zero";"Compreensão de que algumas divisões deixam retos, ou seja, não são exatas; Identificação de padrão e regularidade em sequência numérica formada por números que deixam o mesmo resto ao ser dividido por um mesmo número natural; Formação de sequências numéricas compostas por números que deixam o mesmo resto  ao
ser dividido por um mesmo número natural; Reconhecimento, por meio de investigações, que há grupos de números naturais para os quais as divisões por um determinado número resultam em restos iguais, identificando regularidades, que implica em identificar dividendo, divisor, quo- ciente e resto em uma divisão; Análise da relação entre o números de uma sequência, buscando um padrão para expressar uma regularidade.";(EF04MA12) Reconhecer, por meio de investigações, que há grupos de números naturais para os quais as divisões por um determinado número resultam em restos iguais, identificando regularidades.;(EF04MA07) (EF04MA11);;Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
4º;Álgebra;"Relações entre adição
e subtração e entre multi- plicação e divisão";"Exploração da complementação de quantidades; Utilização da calculadora para a compreensão das relações entre adição e subtração e entre a multi- plicação e a divisão; Utilização da complementa- ção de quantidades na resolução de problemas; Compreensão de que as operações aritméticas integram os eixos temáticos: número e álgebra.";(EF04MA13) Reconhecer, por meio de investigações, utilizando a calculadora quando necessário, as relações inversas entre as operações de adição e de subtra- ção e de multiplicação e de divisão, para aplicá-las na resolução de problemas.;(EF04MA02) (EF04MA05) (EF04MA11) (EF04MA12);;Utilizar processos e ferramentas matemáticas, inclusive tecnologias digitais disponíveis, para modelar e resolver problemas cotidianos, sociais e de outras áreas de conhe- cimento, validando estratégias e resultados.
4º;Álgebra;Propriedades da igual- dade;"Exploração das relações de igualdade; Exploração dos critérios de simetria e transitividade da igualdade; Compreensão do princípio aditivo da igualdade;";(EF04MA14) Reconhecer e mostrar, por meio de exemplos, que a relação de igualdade existente entre dois termos permanece quando se adiciona ou se subtrai um mesmo número a cada um desses termos.;(EF04MA01) (EF04MA15) (EF04MA05);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
4º;Álgebra;Propriedades da igual- dade;"Exploração do princípio aditivo da equivalência  de equações; Identificação de um valor desconhe- cido dada uma igualdade;";(EF04MA15) Determinar o número desconhecido que torna verdadeira uma igualdade que envolve as operações fundamentais com números naturais.;(EF04MA05) (EF04MA14);;"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
4º;Geometria;"Localização, orientação e movimentação: pontos de referência, direção
e sentido Paralelismo e perpendicularismo";"Identificação de posição e/ou objeto presentes em representações utilizando um ou dois pontos de referência distintos do seu próprio corpo; Orientação de movimentação e/ou deslocamento de outra pessoa fornecendo-lhe determinadas orientações; Desenho de itinerários vivenciados nas situações do cotidiano; Descrição de itinerá- rios percorridos focalizando as orientações espa- ciais utilizadas; Interpretação de movimentação e/ou deslocamento em diversas representações, utilizando as orientações espaciais apropriadas
e suas terminologias. Leitura de plantas baixa e mapas; Esboço de plantas baixa e mapas para representação de itinerários; Utilização de termos como: direita e esquerda, mudanças de direção
e sentido, intersecção, transversais, paralelas e perpendiculares, para descrever itinerários;
Diferenciação de paralelismo e perpendicularis- mo; Identificação de situações de  paralelismo e perpendicularismo; Exploração da noção inicial de ângulo; Exploração do conceito de paralelismo e perpendicularismo.";"(EF04MA16) Descrever deslocamentos  e localização de pessoas e de objetos no
espaço, por meio de malhas quadriculadas e representações como desenhos, mapas, planta baixa e croquis, empregando  termos como direita e esquerda, mudanças de direção e sentido, intersecção, transver- sais, paralelas e perpendiculares.";;(EF67EF20) (EF89EF13) (EF15AR08) (EF15AR10) (EF35EF09) (EF04CI04) (EF04CI05) (EF12EF04) (EF35EF07) (EF35EF10) (EF12EF07) (EF12EF11);"Desenvolver o raciocínio lógico, o espírito de investigação e a
capacidade de produzir argumen- tos convincentes, recorrendo aos conhecimentos matemáticos para compreender e atuar no mundo."
4º;Geometria;Figuras geométricas espaciais (prismas e pirâ- mides): reconhecimento, representações, planifica- ções e características;"Identificação de poliedros, denominando-os (prismas e pirâmides); Identificação de elementos dos poliedros (face, aresta e vértice); Descrição de comparação de poliedros tendo como referência seus elementos; Planificação de poliedros para apontar suas características, semelhanças e diferenças; Identificação de figuras planas que estão presentes nas planificações dos poliedros; Construção de poliedros a partir de  suas pla- nificações.";"(EF04MA17) Associar prismas e pirâmides a suas planificações e analisar, nomear e comparar seus atributos, estabelecendo relações entre as representações planas
e espaciais.";(EF04MA18) (EF04MA19);;Fazer observações sistemáticas de aspectos quantitativos e qualitati- vos presentes nas práticas sociais  e culturais, de modo a investigar, organizar, representar e comunicar informações relevantes, para interpretá-las e avaliá-las crítica e eticamente, produzindo argumen- tos convincentes.
