ANO;CAMPOS DE ATUAÇÃO;PRÁTICAS DE LINGUAGEM;OBJETOS DE CONHECIMENTO;OBJETOS ESPECÍFICOS;HABILIDADES;RELAÇÃO DENTRO DO PRÓPRIO COMPONENTE;RELAÇÃO ENTRE COMPONENTES;COMPETÊNCIAS ESPECÍFICAS
3º;CAMPO DA VIDA COTIDIANA;"Produção de textos
(escrita compar- tilhada e autô- noma)";Escrita colaborativa;Produção de carta pessoal e diário, considerando o contexto de produção.;"(EF03LP13) Planejar e produzir cartas pessoais e diários, com ex- pressão de sentimentos e opiniões, dentre outros gêneros do campo da vida cotidiana, de acordo com as convenções dos gêneros carta
e diário, considerando a situação comunicativa e o tema/assunto do texto.";;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares), e de se envolver com maior autonomia e protagonismo na vida social.
3º;CAMPO DA VIDA COTIDIANA;Escrita (compartilhada e autônoma);Escrita colaborativa;Planejamento e produção de textos injuntivos, instrucionais, com a es- trutura própria desses textos (verbos imperativos, indicação de passos a serem seguidos) mesclando palavras, imagens e recursos gráfico-visuais, considerando a situação comunicativa e o tema/ assunto do texto.;(EF03LP14) Planejar e produzir textos injuntivos instrucionais, com a estrutura própria desses textos (verbos imperativos, indicação de passos a serem seguidos) mesclan- do palavras, imagens e recursos gráfico-visuais, considerando a situação comunicativa e o tema/ assunto do texto.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares), e de se envolver com maior autonomia e protagonismo na vida social.
3º;CAMPO DA VIDA COTIDIANA;Oralidade;Produção de texto oral;Planejamento e produção de receitas em áudio ou vídeo, a partir de progra- mas culinários assistidos.;(EF03LP15) Assistir, em vídeo digital, a programas de culinária infantil e, a partir deles, planejar e produzir receitas em áudio ou vídeo.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares), e de se envolver com maior autonomia e protagonismo na vida social.
3º;CAMPO DA VIDA COTIDIANA;Análise linguís- tica/semiótica (Ortografização);Forma de composição do texto;"Identificação e reprodução de textos injuntivos instrucionais (receitas, instruções de montagem, digitais ou impressos), da formatação própria desses textos (verbos imperativos, indicação de passos a serem segui- dos) e da diagramação específica dos textos desses gêneros (lista de
ingredientes ou materiais e instruções de execução – “modo de fazer”).";"(EF03LP16) Identificar e reproduzir, em textos injuntivos instrucionais (receitas, instruções de montagem, digitais ou impressos), a formata- ção própria desses textos (verbos imperativos, indicação de passos
a serem seguidos) e a diagrama- ção específica dos textos desses gêneros (lista de ingredientes ou materiais e instruções de execução – “modo de fazer”).";;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos ((inclusive escolares), e de se envolver com maior autonomia e protagonismo na vida social.
3º;CAMPO DA VIDA COTIDIANA;Análise linguís- tica/semiótica (Ortografização);Forma de composição do texto;Identificação e reprodução de textos epistolares e diários, considerando a estrutura de cada um deles e o seu respectivo contexto de produção.;"(EF03LP17) Identificar e reproduzir, em gêneros epistolares e diários,
a formatação própria desses  textos (relatos de acontecimentos, expressão de vivências, emoções, opiniões ou críticas) e a diagrama- ção específica dos textos desses gêneros (data, saudação, corpo do texto, despedida, assinatura).";;;Apropriar-se da linguagem escrita, reconhecen- do-a como forma de interação nos diferentes campos de atuação na vida social utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares), e de se envolver com maior autonomia e protagonismo na vida social.
3º;CAMPO DA VIDA PÚBLICA;Leitura/escuta (compartilhada e autônoma);Compreensão em leitura;Leitura e compreensão, com auto- nomia, de cartas dirigidas a veículos da mídia impressa ou digital (cartas de leitor e de reclamação a jornais, revistas) e de notícias, dentre outros gêneros do campo jornalístico, de acordo com as convenções do gênero carta, considerando a situação comu- nicativa e o tema/assunto do texto.;(EF03LP18) Ler e compreender, com autonomia, cartas dirigidas a veículos da mídia impressa ou digi- tal (cartas de leitor e de reclamação a jornais, revistas) e notícias, dentre outros gêneros do campo jornalís- tico, de acordo com as convenções do gênero carta, considerando a situação comunicativa e o tema/ assunto do texto.;;;Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
3º;CAMPO DA VIDA PÚBLICA;Leitura/escuta (compartilhada e autônoma);Compreensão em leitura;Identificação e discussão a respeito dos recursos de persuasão (cores, imagens, escolha de palavras, jogo de palavras, tamanho de letras) utilizados em textos publicitários e de propagan- da com fins de convencimento.;"(EF03LP19) Identificar e discutir  o propósito do uso de recursos de
persuasão (cores, imagens, escolha de palavras, jogo de palavras, tamanho de letras) em textos publi- citários e de propaganda, como elementos de convencimento.";;;Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
3º;CAMPO DA VIDA PÚBLICA;Produção de textos (escrita compartilhada e autônoma);Escrita colaborativa;"Produção de cartas dirigidas a veículos da mídia impressa ou digital (cartas do leitor ou de reclamação
a jornais ou revistas), dentre outros gêneros do campo político-cidadão, com opiniões e críticas, de acordo com as convenções do gênero carta e considerando a situação comunicativa e o tema/assunto do texto.";(EF03LP20) Produzir cartas dirigi- das a veículos da mídia impressa ou digital (cartas do leitor ou de reclamação a jornais ou revistas), dentre outros gêneros do campo político-cidadão, com opiniões e críticas, de acordo com as conven- ções do gênero carta e conside- rando a situação comunicativa e o tema/assunto do texto.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares), e de se envolver com maior autonomia e protagonismo na vida social.
3º;CAMPO DA VIDA PÚBLICA;Produção de textos (escrita compartilhada e autônoma);Escrita colaborativa;"Produção de anúncios publicitários, textos de campanhas de conscienti- zação destinados ao público infantil, observando os recursos de persuasão utilizados nos textos publicitários
e de propaganda (cores, imagens, slogan, escolha de palavras, jogo de palavras, tamanho e tipo de letras, diagramação).";"(EF03LP21) Produzir anúncios publicitários, textos de campanhas de conscientização destinados
ao público infantil, observando os recursos de persuasão utili- zados nos textos publicitários e de propaganda (cores, imagens, slogan, escolha de palavras, jogo de palavras, tamanho e tipo de letras, diagramação).";;;Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
3º;CAMPO DA VIDA PÚBLICA;Oralidade;Planejamento e produção de texto;Planejamento e produção colaborati- va, com os colegas, de telejornal para público infantil com algumas notícias e textos de campanhas que possam ser repassados oralmente ou em meio digital, em áudio ou vídeo, consi- derando a situação comunicativa, a organização específica da fala nesses gêneros e o tema/assunto/ finalidade dos textos.;"(EF03LP22) Planejar e produzir, em colaboração com os colegas, telejornal para público infantil com algumas notícias e textos de campanhas que possam ser
repassados oralmente ou em meio digital, em áudio ou vídeo, consi- derando a situação comunicativa, a organização específica da fala nesses gêneros e o tema/assunto/ finalidade dos textos.";;;Reconhecer o texto como lugar de manifes- tação e negociação de sentidos, valores e ideologias.
3º;CAMPO DA VIDA PÚBLICA;Análise linguís- tica/semiótica (Ortografização);Forma de composição dos textos;Análise do uso de adjetivos em cartas dirigidas a veículos da mídia impressa ou digital (cartas do leitor ou de reclamação a jornais ou revistas), digitais ou impressas.;(EF03LP23) Analisar o uso de adjetivos em cartas dirigidas a veí- culos da mídia impressa ou digital (cartas do leitor ou de reclamação a jornais ou revistas), digitais ou impressas.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação na vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Leitura/escuta (compartilhada e autônoma);Compreensão em leitura;Leitura, audição e compreensão de textos, com autonomia, de Relatos de observações e de pesquisas em fontes de informações, considerando a situação comunicativa e o tema/ assunto do texto.;(EF03LP24) Ler/ouvir e compreen- der, com autonomia, relatos de observações e de pesquisas em fontes de informações, conside- rando a situação comunicativa e o tema/assunto do texto.;;(EF303CI06) (EF303CI07) (EF303CI09);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Produção de textos (escrita compartilhada e autônoma);Produção de textos;Planejamento e produção de textos para apresentar resultados de ob- servações e de pesquisas em fontes de informações, incluindo, quando pertinente, imagens, diagramas e gráficos ou tabelas simples, consi- derando a situação comunicativa e o tema/assunto do texto.;"(EF03LP25) Planejar e produzir textos para apresentar resultados de observações e de pesquisas em fontes de informações, incluindo, quando pertinente, imagens, diagramas e gráficos ou tabelas simples, considerando a situação comunicativa e o tema/assunto
do texto.";;(EFO3MA27) (EF303CI06) (EF303CI07) (EF303CI09) (EF04GE06);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Análise linguís- tica/semiótica (Ortografização);"Forma de composição dos textos Adequação do
texto às normas de escrita";Identificação e reprodução de relató- rios de observação e pesquisa, consi- derando a formatação e a diagrama- ção específica desses gêneros (passos ou listas de itens, tabelas, ilustrações, gráficos, resumo dos resultados), inclusive em suas versões orais.;(EF03LP26) Identificar e reproduzir, em relatórios de observação e pesquisa, a formatação e diagra- mação específica desses gêneros (passos ou listas de itens, tabelas, ilustrações, gráficos, resumo dos resultados), inclusive em suas versões orais.;;(EFO3MA28) (EF303CI06) (EF303CI07) (EF303CI09);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º;CAMPO ARTÍSTICO- LITERÁRIO;Oralidade;Performances orais;Recitação de cordel e canto de repen- tes e emboladas, observando as rimas e obedecendo ao ritmo e à melodia.;(EF03LP27) Recitar cordel e cantar repentes e emboladas, observando as rimas e obedecendo ao ritmo e à melodia.;;(EF303CI06);Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Leitura/escuta (compartilhada e autônoma);Decodificação/ Fluência de leitura;Leitura silenciosa e em voz alta de textos curtos de nível de textualidade adequado, com autonomia e fluência.;(EF35LP01) Ler e compreender, silenciosamente e, em seguida, em voz alta, com autonomia e fluência, textos curtos com nível de textuali- dade adequado.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Leitura/escuta (compartilhada e autônoma);Formação de leitor;Seleção de livros da biblioteca e/ou do cantinho de leitura da sala de aula e/ ou disponíveis em meios digitais para leitura individual, justificando a esco- lha e compartilhando com os colegas sua opinião, após a leitura.;(EF35LP02) Selecionar livros da bi- blioteca e/ou do cantinho de leitura da sala de aula e/ou disponíveis  em meios digitais para leitura individual, justificando a escolha e compartilhando com os colegas sua opinião, após a leitura.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Leitura/escuta (compartilhada e autônoma);Compreensão;Identificação da ideia central do texto, demonstrando compreensão global.;(EF35LP03) Identificar a ideia central do texto, demonstrando compreensão global.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Leitura/escuta (compartilhada e autônoma);Estratégia de leitura;Inferência de informações implícitas nos textos lidos.;(EF35LP04) Inferir informações implícitas nos textos lidos.;;(EF05ER03);Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Leitura/escuta (compartilhada e autônoma);Estratégia de leitura;Compreensão de palavras ou expres- sões desconhecidas em textos de acordo com o contexto.;(EF35LP05) Inferir o sentido de pa- lavras ou expressões desconhecidas em textos, com base no contexto  da frase ou do texto.;EF35LP07 EF35LP14 EF04LP06 EF05LP06 EF05LP27 EF08LP15 EF89LP27 EF07LP12 EF07LP13;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Leitura/escuta (compartilhada e autônoma);Estratégia de leitura;Recuperação das relações entre partes de um texto, identificando substituições lexicais (de substantivos por sinônimos) ou pronominais (uso de pronomes anafóricos – pessoais, possessivos, demonstrativos) que contribuem para a continuidade do texto.;(EF35LP06) Recuperar relações entre partes de um texto, identi- ficando substituições lexicais (de substantivos por sinônimos) ou pronominais (uso de pronomes anafóricos – pessoais, possessivos, demonstrativos) que contribuem para a continuidade do texto.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;"Produção de textos
(escrita compar- tilhada e autô- noma)";Construção do sistema alfabético/ Convenções da escrita;Utilização, ao produzir um texto, de conhecimentos linguísticos e gra- maticais (ortografia, regras básicas de concordância nominal e verbal, pontuação -ponto final, ponto de exclamação, ponto de interrogação, vírgulas em enumerações- e pon- tuação do discurso direto, quando for o caso.;(EF35LP07) Utilizar, ao produzir um texto, conhecimentos linguís- ticos e gramaticais, tais como ortografia, regras básicas de concordância nominal e verbal, pontuação (ponto final, ponto de exclamação, ponto de interrogação, vírgulas em enumerações) e pon- tuação do discurso direto, quando for o caso.;EF04LP06 EF04LP07 EF05LP06 EF05LP26 EF15LP12;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;"Produção de textos
(escrita compar- tilhada e autô- noma)";"Construção do sistema alfabético/ Estabelecimento de relações anafóricas na referenciação
e construção da coesão";"Utilização, ao produzir um texto, de recursos de referenciação (por
substituição lexical ou por pronomes pessoais, possessivos e demons- trativos), vocabulário apropriado
ao gênero, recursos de coesão pronominal (pronomes anafóricos) e articuladores de relações de sentido (tempo, causa, oposição, conclusão, comparação), com nível suficiente de informatividade.";"(EF35LP08) Utilizar, ao produzir um texto, recursos de referenciação (por substituição lexical ou por pronomes pessoais, possessivos
e demonstrativos), vocabulário apropriado ao gênero, recursos de coesão pronominal (pronomes ana- fóricos) e articuladores de relações de sentido (tempo, causa, oposição, conclusão, comparação), com nível suficiente de informatividade.";;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;"Produção de textos
(escrita compar- tilhada e autô- noma)";Planejamento de texto/Progressão temática e paragrafação;Organização do texto em unidades de sentido, dividindo em parágrafos se- gundo as normas gráficas e de acordo com as características dos gêneros.;(EF35LP09) Organizar o texto em unidades de sentido, dividindo-o em parágrafos segundo as normas gráficas e de acordo com as carac- terísticas do gênero textual.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Oralidade;Forma de composição de gêneros orais;Identificação dos gêneros do discurso oral utilizados em diferentes situações e contextos comunicativos, suas características linguístico-expressivas e composicionais (conversação espontâ- nea, conversação telefônica, entrevis- tas pessoais, entrevistas no rádio ou na TV, debate, noticiário de rádio e TV, narração de jogos esportivos no rádio e TV, aula, debate etc.).;"(EF35LP10) Identificar gêneros do discurso oral, utilizados em
diferentes situações e contextos co- municativos, e suas características linguístico-expressivas e composi- cionais (conversação espontânea, conversação telefônica, entrevistas pessoais, entrevistas no rádio ou na TV, debate, noticiário de rádio e
TV, narração de jogos esportivos no rádio e TV, aula, debate etc.).";EF67LP29;;Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreen- são, autonomia, fluência e criticidade, de modo a se expressar e partilhar informações, experiências, ideias e sentimentos, e continuar aprendendo.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Oralidade;Variação linguística;Escuta de gravações, canções, textos falados em diferentes variedades linguísticas, identificando as variantes regionais, culturais.;(EF35LP11) Ouvir gravações, canções, textos falados em di- ferentes variedades linguísticas, identificando características regionais, urbanas e rurais da fala e respeitando as diversas variedades linguísticas como características do uso da língua por diferentes grupos regionais ou diferentes culturas locais, rejeitando preconceitos linguísticos.;EF69LP55 EF69LP56 EF09LP12;;Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreen- são, autonomia, fluência e criticidade, de modo a se expressar e partilhar informações, experiências, ideias e sentimentos, e continuar aprendendo.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Ortografização);Construção do sistema alfabético e da ortografia;Consulta ao dicionário para conferir a escrita de palavras, especialmente no caso de palavras com relações irregu- lares fonema-grafema;(EF35LP12) Recorrer ao dicionário para esclarecer dúvida sobre a escrita de palavras, especialmente no caso de palavras com relações irregulares fonema-grafema.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Ortografização);Construção do sistema alfabético e da ortografia;Memorização da escrita de palavras de uso frequente nas quais as rela- ções fonema-grafema são irregulares e com h inicial que não representa fonema.;(EF35LP13) Memorizar a grafia de palavras de uso frequente nas quais as relações fonema-grafema são irregulares e com h inicial que não representa fonema.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;TODOS OS CAMPOS DE ATUAÇÃO;Análise linguís- tica/semiótica (Ortografização);Morfologia;Identificação em textos e uso na pro- dução textual dos pronomes pessoais, possessivos e demonstrativos, como recurso anafórico;(EF35LP14) Identificar em textos e usar na produção textual pronomes pessoais, possessivos e demons- trativos, como recurso coesivo anafórico.;;;Apropriar-se da linguagem escrita, reco- nhecendo-a como forma de interação nos diferentes campos de atuação da vida social e utilizando-a para ampliar suas possibilidades de participar da cultura letrada, de construir conhecimentos (inclusive escolares) e de se envolver com maior autonomia e protagonismo na vida social.
3º, 4º, 5º;CAMPO DA VIDA PÚBLICA;"Produção de textos
(escrita compar- tilhada e autô- noma)";Escrita colaborativa;Opinião e defesa de ponto de vista sobre assunto polêmico relacionado a situações vivenciadas na escola e/ou na comunidade, utilizando registro formal e estrutura adequada à argumentação, considerando a situação comunicativa e o tema/ assunto do texto.;(EF35LP15) Opinar e defender ponto de vista sobre tema polêmico relacionado a situações vivenciadas na escola e/ou na comunidade, utilizando registro formal e estru- tura adequada à argumentação, considerando a situação comunica- tiva e o tema/assunto do texto.;;(EF01CI03) (EF02CI03) (EF03CI03) (EF05CI04) (EF05CI09) (EF05CI13) (EF04GE08) (EF09ER05);Analisar informações, argumentos e opiniões manifestados em interações sociais e nos meios de comunicação, posicionando-se ética e criticamente em relação a conteúdos discriminatórios que ferem direitos humanos e ambientais.
3º, 4º, 5º;CAMPO DA VIDA PÚBLICA;Análise linguís- tica/semiótica (Ortografização);Forma de composição dos textos;Identificação e reprodução em notícias, manchetes, lides e corpo de notícias simples para público infantil e cartas de reclamação (revista infantil), digitais ou impressos, a formatação e diagramação específica de cada um desses gêneros, inclusive em suas versões orais.;"(EF35LP16) Identificar e reproduzir, em notícias, manchetes, lides e corpo de notícias simples para público infantil e cartas de recla- mação (revista infantil), digitais
ou impressos, da formatação e diagramação específica de cada um desses gêneros, inclusive, em suas versões orais.";;;Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreen- são, autonomia, fluência e criticidade, de modo a se expressar e partilhar informações, experiências, ideias e sentimentos, e continuar aprendendo.
3º, 4º, 5º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Leitura/escuta (compartilhada e autônoma);Pesquisa;"Busca e seleção de informações, com auxílio dos professores, sobre fenô- menos sociais e naturais, em textos que circulam em meios impressos
ou digitais.";(EF35LP17) Buscar e selecionar, com o apoio do professor, informa- ções de interesse sobre fenômenos sociais e naturais, em textos que circulam em meios impressos ou digitais.;;(EFO3MA27) (EF03MA28) (EF35LP15);Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreen- são, autonomia, fluência e criticidade, de modo a se expressar e partilhar informações, experiências, ideias e sentimentos, e continuar aprendendo.
3º, 4º, 5º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Oralidade;Escuta de Textos orais;Escuta respeitosa, atenta e participa- tiva de apresentação dos trabalhos da turma, formulando perguntas perti- nentes ao tema e solicitando esclare- cimentos sempre que necessário.;(EF35LP18) Escutar, com aten-  ção, apresentações de trabalhos realizadas por colegas, formulando perguntas pertinentes ao tema e solicitando esclarecimentos sempre que necessário.;;;Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreen- são, autonomia, fluência e criticidade, de modo a se expressar e partilhar informações, experiências, ideias e sentimentos, e continuar aprendendo.
3º, 4º, 5º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Oralidade;Compreensão de textos orais;Recuperação das ideias principais de exposições, apresentações e palestras;(EF35LP19) Recuperar as ideias principais em situações formais de escuta de exposições, apresenta- ções e palestras.;;;Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreen- são, autonomia, fluência e criticidade, de modo a se expressar e partilhar informações, experiências, ideias e sentimentos, e continuar aprendendo.
3º, 4º, 5º;CAMPO DAS PRÁTICAS DE ESTUDO E PESQUISA;Oralidade;Planejamento de texto oral Exposição oral;"Exposição de trabalhos ou pesquisas escolares com apoio de recursos multissemióticos, (imagens, diagrama, tabelas etc.), orientando-se por roteiro escrito, planejando o tempo de fala
e adequando a linguagem à situação comunicativa.";"(EF35LP20) Expor trabalhos ou pesquisas escolares, em sala de aula, com apoio de recursos
multissemióticos (imagens, diagra- ma, tabelas etc.), orientando-se por roteiro escrito, planejando o tempo de fala e adequando a linguagem à situação comunicativa.";;(EF303CI06) (EF303CI07) (EF303CI09) (EF05MA25);Ler, escutar e produzir textos orais, escritos e multissemióticos que circulam em diferentes campos de atuação e mídias, com compreen- são, autonomia, fluência e criticidade, de modo a se expressar e partilhar informações, experiências, ideias e sentimentos, e continuar aprendendo.
3º, 4º, 5º;CAMPO ARTÍSTICO- LITERÁRIO;Leitura/escuta (compartilhada e autônoma);Formação do leitor literário;Ler e compreender de forma ade dife- rentes gêneros e extensões, inclusive aqueles sem ilustrações, estabelecen- do preferências por gêneros, temas, autores.;"(EF35LP21) Leitura e compreensão, de forma autônoma, de textos literários de diferentes gêneros
e extensões, inclusive aqueles sem ilustrações, estabelecendo preferências por gêneros, temas, autores.";;(EF69AR31);Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
3º, 4º, 5º;CAMPO ARTÍSTICO- LITERÁRIO;Leitura/escuta (compartilhada e autônoma);Formação do leitor literário/ Leitura multissemiótica;Percepção de diálogo em textos narrativos, observando os efeitos dos sentidos dos verbos de enunciação e o uso de variedades linguísticas no discurso direto.;(EF35LP22) Perceber diálogos em textos narrativos, observando o efeito de sentido de verbos de enunciação e, se for o caso, o uso de variedades linguísticas no discurso direto.;;(EF69AR25) (EF69AR27) (EF69AR32);Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
3º, 4º, 5º;CAMPO ARTÍSTICO- LITERÁRIO;Leitura/escuta (compartilhada e autônoma);Apreciação estética/Estilo;Apreciação de textos literários em versos, observando rimas, aliterações e diferentes modos de divisão dos versos, estrofes e refrãos e seu efeito de sentido.;(EF35LP23) Apreciar poemas e outros textos versificados, obser- vando rimas, aliterações e diferen- tes modos de divisão dos versos, estrofes e refrãos e seu efeito de sentido.;;;Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
3º, 4º, 5º;CAMPO ARTÍSTICO- LITERÁRIO;Leitura/escuta (compartilhada e autônoma);Textos dramáticos;Identificação das funções do texto dramático (escrito para ser encenado) e sua organização por meio de diálo- gos e marcadores das falas e cenas.;(EF35LP24) Identificar funções do texto dramático (escrito para ser encenado) e sua organização por meio de diálogos entre persona- gens e marcadores das falas das personagens e das cenas.;;;Envolver-se em práticas de leitura literária  que possibilitem o desenvolvimento do senso estético para fruição, valorizando a literatura e outras manifestações artístico-culturais como formas de acesso às dimensões lúdicas, de imaginário e encantamento, reconhecendo o potencial transformador e humanizador da experiência com a literatura.
