Etapa,Componente Curricular,Descritor,Descrição da Habilidade ,Ciclos,Habilidades
3 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",1,
3 ANO,MATEMÁTICA,3EF10_M,"Utilizar a operação de multiplicação de um número natural, formado por até quatro algarismos, por 2, 3, 4, 5 ou 10, envolvendo o significado de adição de parcelas iguais ou de organização retangula...",1,
3 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",1,
3 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",1,
3 ANO,MATEMÁTICA,3EF13_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide).",1,
3 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",1,
3 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,
3 ANO,MATEMÁTICA,3EF17_M,Interpretar dados estatísticos dispostos em tabelas de dupla entrada.,1,
4 ANO,LÍNGUA PORTUGUESA,1EF09_P,Ler palavras formadas por sílabas não canônicas.,1,H 09
4 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,H 17
4 ANO,LÍNGUA PORTUGUESA,2EF19_P,Reconhecer o efeito de sentido produzido pelo uso de recursos expressivos gráfico-visuais em tirinhas e histórias em quadrinhos.,1,H 22
4 ANO,LÍNGUA PORTUGUESA,3EF01_P,Identificar variações de sons de grafema no caso de correspondências regulares contextuais entre grafemas e fonemas (c/qu,1, g/gu
4 ANO,LÍNGUA PORTUGUESA,3EF02_P,Identificar variações de sons de grafema no caso de correspondências irregulares entre grafemas e fonemas (j/g,1, c antes de e/i
4 ANO,LÍNGUA PORTUGUESA,3EF03_P,Identificar variações de sons de grafema no caso de correspondências irregulares entre grafemas e fonemas (sons do z - s/z/x,1, sons do s - ss/c/ç/sc/sç/x/xc).
4 ANO,LÍNGUA PORTUGUESA,3EF06_P,"Ler frases (sujeito, verbo, objeto direto e objeto indireto ou frase na ordem indireta).",1,H 26
4 ANO,LÍNGUA PORTUGUESA,3EF09_P,Reconhecer o assunto de notícias quando o assunto é apontado pela manchete.,1, H27
4 ANO,LÍNGUA PORTUGUESA,3EF15_P,"Reconhecer o tempo e o lugar de narrativas ficcionais, quando há pistas textuais que evidenciam esses elementos.",1,H 28
4 ANO,LÍNGUA PORTUGUESA,3EF21_P,Reconhecer o efeito de sentido produzido pelos pontos de exclamação e interrogação.,1,H30
4 ANO,LÍNGUA PORTUGUESA,4EF10_P,"Inferir informação em texto exclusivamente verbal com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.",1,H 31
4 ANO,LÍNGUA PORTUGUESA,4EF22_P,Reconhecer relações lógico-discursivas de causalidade marcadas por conjunções mais usuais em textos do campo da vida cotidiana e do campo artístico-literário.,1,H 36
4 ANO,LÍNGUA PORTUGUESA,4EF24_P,Identificar o referente de pronomes pessoais do caso reto (anafórico) com referente próximo em textos do campo da vida cotidiana e do campo artístico literário.,1,H 38
4 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,
4 ANO,LÍNGUA PORTUGUESA,2EF14_P,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).",1,
4 ANO,LÍNGUA PORTUGUESA,3EF17_P,Reconhecer o gênero de um texto do campo da vida pública.,1,
4 ANO,LÍNGUA PORTUGUESA,4EF08_P,Reconhecer o assunto de notícias quando o assunto é apontado indiretamente pela manchete e/ou é tópico do primeiro parágrafo do texto.,1,
4 ANO,LÍNGUA PORTUGUESA,4EF09_P,Reconhecer o assunto de textos de qualquer campo de atuação quando o assunto é indicado indiretamente pelo título e/ou tópico do primeiro parágrafo do texto.,1,
4 ANO,LÍNGUA PORTUGUESA,4EF10_P,"Inferir informação em texto exclusivamente verbal com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.",1,
4 ANO,LÍNGUA PORTUGUESA,4EF12_P,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ...",1,
4 ANO,LÍNGUA PORTUGUESA,4EF14_P,Inferir efeitos de humor em textos que conjugam linguagem verbal e não verbal.,1,
4 ANO,LÍNGUA PORTUGUESA,4EF16_P,"Reconhecer o narrador em narrativas ficcionais, quando se trata do narrador em primeira pessoa.",1,
4 ANO,LÍNGUA PORTUGUESA,4EF19_P,"Identificar a finalidade de textos do campo da vida pública (cartazes de conscientização, regras de convivência, estatutos).",1,
4 ANO,LÍNGUA PORTUGUESA,4EF22_P,Reconhecer relações lógico-discursivas de causalidade marcadas por conjunções mais usuais em textos do campo da vida cotidiana e do campo artístico-literário.,1,
4 ANO,LÍNGUA PORTUGUESA,4EF24_P,Identificar o referente de pronomes pessoais do caso reto (anafórico) com referente próximo textos do campo da vida cotidiana e do campo artístico literário.,1,
4 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,
4 ANO,LÍNGUA PORTUGUESA,2EF14_P,"Inferir o sentido de palavra ou expressão idiomática própria da linguagem informal, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico).",1,
4 ANO,LÍNGUA PORTUGUESA,3EF17_P,Reconhecer o gênero de um texto do campo da vida pública.,1,
4 ANO,LÍNGUA PORTUGUESA,4EF10_P,"Inferir informação em texto exclusivamente verbal com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.",1,
4 ANO,LÍNGUA PORTUGUESA,4EF12_P,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ...",1,
4 ANO,LÍNGUA PORTUGUESA,4EF14_P,Inferir efeitos de humor em textos que conjugam linguagem verbal e não verbal.,1,
4 ANO,LÍNGUA PORTUGUESA,4EF16_P,"Reconhecer o narrador em narrativas ficcionais, quando se trata do narrador em primeira pessoa.",1,
4 ANO,LÍNGUA PORTUGUESA,4EF17_P,"Identificar a opinião de um personagem em uma narrativa ficcional, estando a opinião marcada por um verbo opinativo.",1,
4 ANO,LÍNGUA PORTUGUESA,4EF19_P,"Identificar a finalidade de textos do campo da vida pública (cartazes de conscientização, regras de convivência, estatutos).",1,
4 ANO,LÍNGUA PORTUGUESA,4EF23_P,Reconhecer relações lógico-discursivas marcadas por advérbios e expressões adverbiais de tempo em textos de diferentes gêneros.,1,
4 ANO,LÍNGUA PORTUGUESA,4EF25_P,Identificar o referente de substituições lexicais (substantivos por sinônimos) em textos de diferentes gêneros.,1,
4 ANO,LÍNGUA PORTUGUESA,5EF04_P,Reconhecer o assunto de textos de qualquer campo de atuação quando o assunto é indicado indiretamente pelo título e/ou é tópico do primeiro parágrafo do texto.,1,
4 ANO,MATEMÁTICA,3EF06_M,Efetuar a operação de adição entre números naturais formados por até quatro algarismos.,1,H 68
4 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",1,H 69
4 ANO,MATEMÁTICA,3EF08_M,Efetuar a operação de subtração entre números naturais formados por até quatro algarismos.,1,H 70
4 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",1,H 71
4 ANO,MATEMÁTICA,3EF11_M,"Determinar termos ausentes em sequências de números naturais, formados por até quatro algarismos, resultantes de adições ou de subtrações sucessivas por um mesmo número.",1,H 72
4 ANO,MATEMÁTICA,3EF12_M,"Interpretar movimentação de pessoas, animais ou objetos no espaço, considerando mais de um ponto de referência e noções de orientação, indicando sua posição após finalizada a movimentação.",1,H 73
4 ANO,MATEMÁTICA,3EF13_M,"Reconhecer figura geométrica espacial (cone, cilindro, esfera, cubo, bloco retangular ou pirâmide).",1,H 74
4 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",1,H 75
4 ANO,MATEMÁTICA,3EF16_M,Reconhecer horário em relógio digital ou analógico (hora e minuto).,1,H 77
4 ANO,MATEMÁTICA,3EF17_M,Interpretar dados estatísticos dispostos em tabelas de dupla entrada.,1,H 78
4 ANO,MATEMÁTICA,4EF02_M,Corresponder composições a decomposições de números naturais formados por até cinco algarismos.,1,H 80
4 ANO,MATEMÁTICA,4EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até cinco algarismos.",1,H 81
4 ANO,MATEMÁTICA,4EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até cinco algarismos.,1,H 82
4 ANO,MATEMÁTICA,4EF05_M,"Corresponder número natural, formado por até cinco algarismos, à sua escrita por extenso.",1,H 83
4 ANO,MATEMÁTICA,4EF07_M,"Utilizar a operação de multiplicação entre números naturais, formados por até quatro algarismos, envolvendo o significado de adição de parcelas iguais, de organização retangular ou de proporcionali...",1,H 85
4 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",1,
4 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",1,
4 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",1,
4 ANO,MATEMÁTICA,4EF01_M,"Comparar números naturais formados por até cinco algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",1,
4 ANO,MATEMÁTICA,4EF02_M,Corresponder composições a decomposições de números naturais formados por até cinco algarismos.,1,
4 ANO,MATEMÁTICA,4EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até cinco algarismos.",1,
4 ANO,MATEMÁTICA,4EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até cinco algarismos.,1,
4 ANO,MATEMÁTICA,4EF05_M,"Corresponder número natural, formado por até cinco algarismos, à sua escrita por extenso.",1,
4 ANO,MATEMÁTICA,4EF06_M,Efetuar a operação de multiplicação entre números naturais formados por até quatro algarismos.,1,
4 ANO,MATEMÁTICA,4EF07_M,"Utilizar a operação de multiplicação entre números naturais, formados por até quatro algarismos, envolvendo o significado de adição de parcelas iguais, de organização retangular ou de proporcionali...",1,
4 ANO,MATEMÁTICA,4EF08_M,"Efetuar a operação de divisão de um número natural, formado por até quatro algarismos, por outro, formado por até dois algarismos.",1,
4 ANO,MATEMÁTICA,4EF09_M,"Utilizar a operação de divisão de um número natural, formado por até quatro algarismos, por outro, formado por até dois algarismos, envolvendo o significado de repartição equitativa ou de medida, n...",1,
4 ANO,MATEMÁTICA,4EF10_M,Reconhecer ângulos retos e ângulos não retos em figuras geométricas planas.,1,
4 ANO,MATEMÁTICA,4EF12_M,"Utilizar valores do sistema monetário brasileiro em situações do cotidiano, na resolução de problema.",1,
4 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,1,
4 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",1,
4 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",1,
4 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",1,
4 ANO,MATEMÁTICA,3EF17_M,Interpretar dados estatísticos dispostos em tabelas de dupla entrada.,1,
4 ANO,MATEMÁTICA,4EF01_M,"Comparar números naturais formados por até cinco algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",1,
4 ANO,MATEMÁTICA,4EF02_M,Corresponder composições a decomposições de números naturais formados por até cinco algarismos.,1,
4 ANO,MATEMÁTICA,4EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até cinco algarismos.",1,
4 ANO,MATEMÁTICA,4EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até cinco algarismos.,1,
4 ANO,MATEMÁTICA,4EF06_M,Efetuar a operação de multiplicação entre números naturais formados por até quatro algarismos.,1,
4 ANO,MATEMÁTICA,4EF07_M,"Utilizar a operação de multiplicação entre números naturais, formados por até quatro algarismos, envolvendo o significado de adição de parcelas iguais, de organização retangular ou de proporcionali...",1,
4 ANO,MATEMÁTICA,4EF08_M,"Efetuar a operação de divisão de um número natural, formado por até quatro algarismos, por outro, formado por até dois algarismos.",1,
4 ANO,MATEMÁTICA,4EF09_M,"Utilizar a operação de divisão de um número natural, formado por até quatro algarismos, por outro, formado por até dois algarismos, envolvendo o significado de repartição equitativa ou de medida, n...",1,
4 ANO,MATEMÁTICA,4EF10_M,Reconhecer ângulos retos e ângulos não retos em figuras geométricas planas.,1,
4 ANO,MATEMÁTICA,4EF11_M,"Medir área de figuras planas, desenhadas em malha quadriculada, cujos lados se posicionam sobre linhas de grade da malha.",1,
4 ANO,MATEMÁTICA,4EF12_M,"Utilizar valores do sistema monetário brasileiro em situações do cotidiano, na resolução de problema",1,
4 ANO,MATEMÁTICA,4EF13_M,"Identificar, dentre resultados possíveis de um experimento aleatório, os que apresentam maiores ou menores chances de ocorrência.",1,
4 ANO,MATEMÁTICA,4EF14_M,Interpretar dados estatísticos dispostos em gráficos de colunas ou de barras agrupadas.,1,
5 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,H 17
5 ANO,LÍNGUA PORTUGUESA,3EF06_P,"Ler frases (sujeito, verbo, objeto direto e objeto indireto ou frase na ordem indireta).",1,H 26
5 ANO,LÍNGUA PORTUGUESA,3EF09_P,Reconhecer o assunto de notícias quando o assunto é apontado pela manchete.,1,H 27
5 ANO,LÍNGUA PORTUGUESA,3EF15_P,"Reconhecer o tempo e o lugar de narrativas ficcionais, quando há pistas textuais que evidenciam esses elementos.",1,H 28
5 ANO,LÍNGUA PORTUGUESA,4EF10_P,"Inferir informação em texto exclusivamente verbal com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.",1,H 31
5 ANO,LÍNGUA PORTUGUESA,4EF13_P,Inferir o sentido de metáforas poéticas em textos do campo artístico literário.,1,H 32
5 ANO,LÍNGUA PORTUGUESA,4EF14_P,Inferir efeitos de humor em textos que conjugam linguagem verbal e não verbal.,1,H 33
5 ANO,LÍNGUA PORTUGUESA,4EF16_P,"Reconhecer o narrador em narrativas ficcionais, quando se trata do narrador em primeira pessoa.",1,H 34
5 ANO,LÍNGUA PORTUGUESA,4EF17_P,"Identificar a opinião de um personagem em uma narrativa ficcional, estando a opinião marcada por um verbo opinativo.",1,H 35
5 ANO,LÍNGUA PORTUGUESA,4EF23_P,Reconhecer relações lógico-discursivas marcadas por advérbios e expressões adverbiais de tempo em textos de diferentes gêneros.,1,H 37
5 ANO,LÍNGUA PORTUGUESA,5EF04_P,Reconhecer o assunto de textos de qualquer campo de atuação quando o assunto é indicado indiretamente pelo título e/ou é tópico do primeiro parágrafo do texto.,1,H 39
5 ANO,LÍNGUA PORTUGUESA,5EF06_P,"Inferir, em textos de nível 2, o sentido de palavras ou expressões não coloquiais, com apoio de pistas co-textuais (sinonímia, antonímia, palavras do mesmo campo semêntico e outras sinalizações).",1,H 40
5 ANO,LÍNGUA PORTUGUESA,5EF15_P,Reconhecer o gênero de textos que circulam nos diferentes campos de atuação.,1,H 41
5 ANO,LÍNGUA PORTUGUESA,5EF16_P,"Identificar a finalidade de textos dos campos de atuação da vida cotidiana, jornalístico midiático ou de estudos e pesquisas pela compreensão global.",1,H 42
5 ANO,LÍNGUA PORTUGUESA,5EF19_P,"Reconhecer o efeito de sentido do uso de aspas, reticências e parênteses em textos de diferentes gêneros.",1,H 43
5 ANO,LÍNGUA PORTUGUESA,5EF22_P,Identificar o referente de pronomes pessoais do caso reto (anafórico) com referente próximo ou saliente (tópico do texto) ou de substituições lexicais (substantivos por sinônimos) em textos de dife...,1,H 44
5 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,
5 ANO,LÍNGUA PORTUGUESA,4EF09_P,Reconhecer o assunto de textos de qualquer campo de atuação quando o assunto é indicado indiretamente pelo título e/ou tópico do primeiro parágrafo do texto.,1,
5 ANO,LÍNGUA PORTUGUESA,4EF10_P,"Inferir informação em texto exclusivamente verbal com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.",1,
5 ANO,LÍNGUA PORTUGUESA,4EF12_P,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ...",1,
5 ANO,LÍNGUA PORTUGUESA,4EF13_P,Inferir o sentido de metáforas poéticas em textos do campo artístico literário.,1,
5 ANO,LÍNGUA PORTUGUESA,4EF14_P,Inferir efeitos de humor em textos que conjugam linguagem verbal e não verbal.,1,
5 ANO,LÍNGUA PORTUGUESA,4EF17_P,"Identificar a opinião de um personagem em uma narrativa ficcional, estando a opinião marcada por um verbo opinativo.",1,
5 ANO,LÍNGUA PORTUGUESA,4EF23_P,Reconhecer relações lógico-discursivas marcadas por advérbios e expressões adverbiais de tempo em textos de diferentes gêneros.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF03_P,"Localizar informação em textos de nível 2, quando a informação é retomada, no texto, por um processo de referenciação quando o referente está próximo.",1,
5 ANO,LÍNGUA PORTUGUESA,5EF04_P,Reconhecer o assunto de textos de qualquer campo de atuação quando o assunto é indicado indiretamente pelo título e/ou é tópico do primeiro parágrafo do texto.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF05_P,"Inferir o assunto de textos dos campos de atuação da vida cotidiana, jornalístico midiático ou de estudos e pesquisas pela compreensão global.",1,
5 ANO,LÍNGUA PORTUGUESA,5EF09_P,Inferir efeitos de crítica em textos que conjugam linguagem verbal e não verbal.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF14_P,Reconhecer o conflito gerador do enredo em narrativas ficcionais.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF15_P,Reconhecer o gênero de textos que circulam nos diferentes campos de atuação.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF16_P,"Identificar a finalidade de textos dos campos de atuação da vida cotidiana, jornalístico midiático ou de estudos e pesquisas pela compreensão global.",1,
5 ANO,LÍNGUA PORTUGUESA,5EF18_P,Reconhecer o efeito de sentido produzido pela diagramação das letras na página em poemas visuais.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF19_P,"Reconhecer o efeito de sentido do uso de aspas, reticências e parênteses em textos de diferentes gêneros.",1,
5 ANO,LÍNGUA PORTUGUESA,5EF21_P,"Reconhecer, relações lógico-discursivas marcadas por conjunções mais usuais em textos dediferentes gêneros.",1,
5 ANO,LÍNGUA PORTUGUESA,5EF22_P,Identificar o referente de pronomes pessoais do caso reto (anafórico) com referente próximo ou saliente (tópico do texto) ou de substituições lexicais (substantivos por sinônimos) em textos de dife...,1,
5 ANO,LÍNGUA PORTUGUESA,5EF23_P,"Identificar o referente de uma expressão nominal com pronome adjetivo (possessivo, demonstrativo, indefinido) ou de elipses.",1,
5 ANO,LÍNGUA PORTUGUESA,2EF08_P,"Localizar informações explícitas em textos, recuperadas por meio de paráfrase.",1,
5 ANO,LÍNGUA PORTUGUESA,4EF10_P,"Inferir informação em texto exclusivamente verbal com base numa paráfrase, na dedução a partir de um enunciado ou na conexão entre enunciados.",1,
5 ANO,LÍNGUA PORTUGUESA,4EF12_P,"Inferir o sentido de palavra pouco usual ou expressão metafórica, com base em pistas co-textuais (sinonímia, palavra do mesmo campo semântico ou enunciado que permita dedução do sentido da palavra ...",1,
5 ANO,LÍNGUA PORTUGUESA,4EF13_P,Inferir o sentido de metáforas poéticas em textos do campo artístico literário.,1,
5 ANO,LÍNGUA PORTUGUESA,4EF17_P,"Identificar a opinião de um personagem em uma narrativa ficcional, estando a opinião marcada por um verbo opinativo.",1,
5 ANO,LÍNGUA PORTUGUESA,4EF23_P,Reconhecer relações lógico-discursivas marcadas por advérbios e expressões adverbiais de tempo em textos de diferentes gêneros.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF03_P,"Localizar informação em textos de nível 2, quando a informação é retomada, no texto, por um processo de referenciação quando o referente está próximo.",1,
5 ANO,LÍNGUA PORTUGUESA,5EF04_P,Reconhecer o assunto de textos de qualquer campo de atuação quando o assunto é indicado indiretamente pelo título e/ou é tópico do primeiro parágrafo do texto.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF05_P,"Inferir o assunto de textos dos campos de atuação da vida cotidiana, jornalístico midiático ou de estudos e pesquisas pela compreensão global.",1,
5 ANO,LÍNGUA PORTUGUESA,5EF09_P,Inferir efeitos de crítica em textos que conjugam linguagem verbal e não verbal.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF10_P,"Inferir o sentido de palavra ou expressão idiomática e outras expressões metafóricas, sem apoio em pistas co-textuais.",1,
5 ANO,LÍNGUA PORTUGUESA,5EF11_P,Inferir informação com base no sentido global do texto.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF14_P,Reconhecer o conflito gerador do enredo em narrativas ficcionais.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF15_P,Reconhecer o gênero de textos que circulam nos diferentes campos de atuação.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF16_P,"Identificar a finalidade de textos dos campos de atuação da vida cotidiana, jornalístico midiático ou de estudos e pesquisas pela compreensão global.",1,
5 ANO,LÍNGUA PORTUGUESA,5EF17_P,Identificar a finalidade de textos dramáticos.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF18_P,Reconhecer o efeito de sentido produzido pela diagramação das letras na página em poemas visuais.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF19_P,"Reconhecer o efeito de sentido do uso de aspas, reticências e parênteses em textos de diferentes gêneros.",1,
5 ANO,LÍNGUA PORTUGUESA,5EF21_P,Reconhecer relações lógico-discursivas marcadas por conjunções mais usuais em textos de diferentes gêneros.,1,
5 ANO,LÍNGUA PORTUGUESA,5EF22_P,Identificar o referente de pronomes pessoais do caso reto (anafórico) com referente próximo ou saliente (tópico do texto) ou de substituições lexicais (substantivos por sinônimos) em textos de dife...,1,
5 ANO,LÍNGUA PORTUGUESA,5EF23_P,"Identificar o referente de uma expressão nominal com pronome adjetivo (possessivo, demonstrativo, indefinido) ou de elipses.",1,
5 ANO,MATEMÁTICA,3EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até quatro algarismos.,1,H 01
5 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",1,H 02
5 ANO,MATEMÁTICA,3EF14_M,"Reconhecer figuras geométricas planas (triângulo, quadrado, retângulo, trapézio ou paralelogramo) desenhadas em diferentes disposições.",1,H 03
5 ANO,MATEMÁTICA,3EF17_M,Interpretar dados estatísticos dispostos em tabelas de dupla entrada.,1,H 04
5 ANO,MATEMÁTICA,4EF07_M,"Utilizar a operação de multiplicação entre números naturais, formados por até quatro algarismos, envolvendo o significado de adição de parcelas iguais, de organização retangular ou de proporcionali...",1,H 05
5 ANO,MATEMÁTICA,4EF09_M,"Utilizar a operação de divisão de um número natural, formado por até quatro algarismos, por outro, formado por até dois algarismos, envolvendo o significado de repartição equitativa ou de medida, n...",1,H 06
5 ANO,MATEMÁTICA,4EF11_M,"Medir área de figuras planas, desenhadas em malha quadriculada, cujos lados se posicionam sobre linhas de grade da malha.",1,H 07
5 ANO,MATEMÁTICA,5EF01_M,"Comparar números racionais positivos, em representação fracionária com denominadores iguais, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",1,H 08
5 ANO,MATEMÁTICA,5EF02_M,Representar fração associada ao significado de parte de um todo.,1,H 09
5 ANO,MATEMÁTICA,5EF03_M,"Identificar objeto ou sua localização em representação no plano, referenciada por linhas e colunas.",1,H 10
5 ANO,MATEMÁTICA,5EF04_M,"Corresponder figuras geométricas espaciais (cilindro, cone, prisma ou pirâmide) à uma de suas planificações.",1,H 11
5 ANO,MATEMÁTICA,5EF05_M,"Reconhecer polígonos em relação à quantidade de lados, vértices ou ângulos.",1,H 12
5 ANO,MATEMÁTICA,5EF06_M,"Converter unidades de medida padronizadas mais usuais das grandezas comprimento, massa, tempo ou capacidade.",1,H 13
5 ANO,MATEMÁTICA,5EF07_M,"Interpretar dados estatísticos dispostos em gráficos de colunas agrupadas, de barras agrupadas ou de linhas.",1,H 14
5 ANO,MATEMÁTICA,3EF07_M,"Utilizar a operação de adição entre números naturais, formados por até quatro algarismos, envolvendo o significado de juntar ou de acrescentar, na resolução de problema.",1,
5 ANO,MATEMÁTICA,3EF09_M,"Utilizar a operação de subtração entre números naturais, formados por até quatro algarismos, envolvendo o significado de separar, de retirar, de comparar ou de completar, na resolução de problema.",1,
5 ANO,MATEMÁTICA,4EF01_M,"Comparar números naturais formados por até cinco algarismos, indicando o menor, o maior, a ordenação crescente ou a decrescente deles.",1,
5 ANO,MATEMÁTICA,4EF02_M,Corresponder composições a decomposições de números naturais formados por até cinco algarismos.,1,
5 ANO,MATEMÁTICA,4EF03_M,"Identificar a ordem ocupada por um algarismo ou o algarismo que ocupa uma determinada ordem, em um número natural formado por até cinco algarismos.",1,
5 ANO,MATEMÁTICA,4EF04_M,Identificar o valor posicional de um algarismo em um número natural formado por até cinco algarismos.,1,
5 ANO,MATEMÁTICA,4EF07_M,"Utilizar a operação de multiplicação entre números naturais, formados por até quatro algarismos, envolvendo o significado de adição de parcelas iguais, de organização retangular ou de proporcionali...",1,
5 ANO,MATEMÁTICA,4EF09_M,"Utilizar a operação de divisão de um número natural, formado por até quatro algarismos, por outro, formado por até dois algarismos, envolvendo o significado de repartição equitativa ou de medida, n...",1,
5 ANO,MATEMÁTICA,4EF11_M,"Medir área de figuras planas, desenhadas em malha quadriculada, cujos lados se posicionam sobre linhas de grade da malha.",1,
5 ANO,MATEMÁTICA,4EF12_M,"Utilizar valores do sistema monetário brasileiro em situações do cotidiano, na resolução de problema.",1,
5 ANO,MATEMÁTICA,5EF02_M,Representar fração associada ao significado de parte de um todo.,1,
5 ANO,MATEMÁTICA,5EF04_M,"Corresponder figuras geométricas espaciais (cilindro, cone, prisma ou pirâmide) à uma de suas planificações.",1,
5 ANO,MATEMÁTICA,5EF05_M,"Reconhecer polígonos em relação à quantidade de lados, vértices ou ângulos.",1,
5 ANO,MATEMÁTICA,5EF06_M,"Converter unidades de medida padronizadas mais usuais das grandezas comprimento, massa, tempo ou capacidade.",1,
